"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"Hitchwiki","Global resource about hitchhiking written by hitchhikers. This is not about paid ride shares, this is about the real thing, traveling with no or almost no money.","http://hitchwiki.org/","http://facebook.org/Hitchwiki","contact@hitchwiki.org","http://hitchwiki.org/contact/","Grass Roots Organization Or Community Network","","not for profit organization","2006-01-01 00:00:00","Chinese, Dutch, English, French, German, Russian, Spanish","","hitchhiking, transport","FLOSS communities, Community networks, Collaborative writing, Collaborative video, audio, images, Collaborative mapping, Free software social networks and platforms","Exchange","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","editors","","","International"
"WikiEducator","WikiEducator is a community project working collaboratively with the Free Culture Movement towards a free version of the education curriculum by 2015. Driven by the learning for development agenda WikiEducator focuses on: 
- developing free content for use in schools, polytechnics, universities, vocational education institutions and informal education settings;
- building capacity in the use of Mediawiki and related free software technologies for mass-collaboration in the authoring of free content;
- facilitating the establishment of community networks and collaboration with existing free content initiatives in education;
- fostering new technologies that will widen access, improve quality and reduce the cost associated with providing education, primarily through the use of free content.
 ","http://wikieducator.org/","","","http://wikieducator.org/WikiEducator:Discussion","Grass Roots Organization Or Community Network","","other","2006-01-01 00:00:00","English","","","Community networks, Collaborative research, Open education","Collage","Resource, Service, Design, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","Erik Möller","","International"
"Howtopedia ","Howtopedias objective is to become the reference for people looking for resources for empowerment. The platform promotes simple technologies in all areas of daily life. howtopedia focuses on a bottom-up strategy. It collects and disseminates self-help resources and know-how in order to facilitate the local self-organization worldwide in four languages: English, Español, Français, Português.","http://en.howtopedia.org","","info@howtopedia.org","http://en.howtopedia.org/wiki/Howtopedia_-_english:About","Grass Roots Organization Or Community Network","","not for profit organization","2010-01-01 00:00:00","English, French, German, Portuguese, Spanish","00 41 44 55 89 809","practical knowledge, simple technologies","Community networks, Open technology, Open education","Collage","Resource","GNU Free Documentation License","GNU General Public License V2","Howtopedia","Howtopedia","","International"
"Energypedia","Global community that co-creates practical knowledge on production and design of renewable energies and sustainable energy sources. The vision of the energypedia knowledge commons platform is “a world of free knowledge exchange and mutual learning on renewable energies in which everyone has access to sustainable energy sources.” On energypedia.info anyone can create and revise articles on renewable energy technologies, approaches and projects as well as energy efficiency.","https://energypedia.info/","http://www.linkedin.com/company/energypedia?trk=company_name","info@energypedia.info","https://energypedia.info/wiki/Feedback","Social Enterprise Charity Or Foundation","energypedia UGenergypedia UG00000 EschbornGermany","not for profit organization","2012-01-01 00:00:00","English","0049 6196 2029722","Biogas, Biomass, Solar Power, Energy, EnDev","Open technology, Open design, Collaborative research, Open education, Others","Exchange","Resource, Service, Methodology","Creative Commons: Attribution (CC BY)","GNU Lesser General Public License","energypedia","energypedia UG","Popular themes on Energypedia are  ... 

Biogas, Biomass, Solar Power, Energy, EnDev, Energy Use, Ethiopia, Financing and Funding, Fuel Price Data , Fuel Price Database, Fuel Price Factsheet, GIZ, HERA, Grid, Hydro, Hydropower sites, Impacts, Improved Cooking, Indonesia, Kenya, Mobility, PicoPV, PicoPV Company, PicoPV System, Productive Use, Project Resource Center, Rural Electrification, Solar  TEA, ESI, households, Uganda, Wind","International"
"Soinumapa"," SOINUMAPA.NET is a Basque country Sound Map open archive project. Based on phonography or the art of recording environmental sounds, its aim is to show, share and exchange field recordings made in the Basque Country.","http://www.soinumapa.net/","","audiolab.arteleku@gmail.com","http://www.soinumapa.net/ongi-etorriwelcomebienvenidoa/harremanetarakocontact...","Academia And Research","ARTELEKU – audiolab Kristobaldegi 14,Loiola Auzoa20014 Donostia – San SebastiánSpain","public institution","2004-01-01 00:00:00","Basque, English, Spanish","34 943 45 36 62","sounds, map, sound map, creative commons, Basque Country","Collaborative archive, Collaborative mapping","Album","Resource","Creative Commons: Attribution (CC BY)","GNU General Public License V2","","Centro de Arte Contemporáneo Arteleku","","Local"
"SocialCompare","SocialCompare.com is an innovative sharing community that allows users to consult, create, modify and share comparisons in any domain","http://socialcompare.com","https://twitter.com/socialcompare, http://facebook.com/socialcompare","contact@socialcompare.com","http://socialcompare.com/en/contact","","SocialCompare SARL 294RD3783440 MontaurouxFrance","for profit organization","2014-01-01 00:00:00","English, French","","crowdsourcing, compare, tables","Collaborative writing","Collage","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Private software","","SARL SocialCompare","","International"
"Radio ELA","Radio ELA is a community radio from Madrid. ELA stands for ""Emisora Libre y Autogestionada"" which can be translated as ""Free and Self-managed Radio Station"". Its community consists of different kinds of programs (musical, political, humor, etc.). New programs are encouraged to join the project.

Radio ELA ony uses free software. ","http://www.radioela.org","https://twitter.com/radioela, https://es-es.facebook.com/RadioELA","info@radioela.org","","Grass Roots Organization Or Community Network","MadridSpain","other","2008-01-01 00:00:00","Spanish","","community radio, radio, free culture, madrid, autonomous","Urban commons","Album","Resource","No license","GNU General Public License V3","","Radio ELA","","Local"
"Guerrilla Translation","Inspired by a love of sharing, Guerilla Translation facilitates access to valuable ideas in uncertain times.

Guerrilla Translation is a collaborative hub for authors and translators to network and share stimulating ideas internationally. Our aim is to model a cooperative form of global idea-sharing, by enabling a platform and method for opening dialogues.

Although GT offers the same range of services as a traditional translation agency, it is anything but. Material is chosen for translation according to its social and environmental value, not its profit potential. We are a P2P service, in which our authors, rather than clients, are partners in an ongoing creative process. GT also acts as a curator of written and visual content through its blog, social media and video channels. Our founding principles can be read here: http://guerrillatranslation.com/the-guerrilla-translation-manifesto/","http://guerrillatranslation.com/","http://guerrillatranslation.com, https://twitter.com/GuerrillaTrans, https://www.facebook.com/pages/Guerrilla-Translation/151238068385765, https://plus.google.com/102403832437462161937/about, http://www.youtube.com/user/GuerrillaTranslation/videos, http://www.scoop.it/u/guerrilla-translation","info@guerrillatranslation.com","http://guerrillatranslation.com/contact/","Grass Roots Organization Or Community Network","Spain","other","2013-01-01 00:00:00","English, Spanish","","commons, activism, environmentalism, translation, subtitling","Community networks, Collaborative writing, Collaborative video, audio, images, Citizen media, Collaborative research, Open data commons, Others","Exchange","Resource, Service, Methodology, Brand, Others","Peer Production License Option","Other licenses","Guerrilla Translation/Source authors","","","International"
"Poplus ","Poplus is an international community of activists, citizens and developers.They  create standardised, internationalised, interoperable, open-source Components, to make it easier to build websites that empower citizens, no matter where they are based.
You have a vision that would make your country's democracy more accessible for everyone. You’ve seen sites like TheyWorkForYou.com or VotaInteligente.cl and would like to build a similar site that monitors your Parliament. It would provide information about all the representatives, and publish everything they say or vote on. Thanks to your website, people would be far better informed about what goes on in Parliament, and better able to make fact-based decisions.
","http://poplus.org/","https://twitter.com/poplusproject","","http://www.ciudadanointeligente.org/contacto/","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2010-01-01 00:00:00","English, Spanish","","advocacy service, accountability, digital democracy","Community networks","Collage","Resource, Service","Creative Commons: Attribution (CC BY)","Other licenses","mySociety  and Ciudadano Inteligente","GitHub","",""
"Sayit","It’s an open source tool for making transcripts really easy to read, search and share on the modern internet. Transcripts are a kind of oil that greases the wheels of well-functioning societies. They let people discover when powerful people have made pronouncements that affect less powerful people. We believe that by making transcripts function better, more people will end up learning about decisions and opinions that affect their lives.
The design is mobile responsive to make reading and navigation pleasant across devices, large and small
Search within an entire database of speeches, for example a whole trial, or everything said by an elected assembly – better than opening hundreds of PDFs and searching manually.
Search within one person’s speeches, even if they only speak occasionally; and each speech is linked to a person, making it easy to see everything someone has said.
Easily share links to a single session (for example at a trial), or even a single speech within a session.
Make your transcripts more likely to show up clearly in search engines.
There’s an API for people who want to do more advanced text processing.","http://sayit.mysociety.org/","https://twitter.com/sayitpoplus, https://www.facebook.com/sayitpoplus, https://github.com/mysociety/sayit","sayit@mysociety.org","","Grass Roots Organization Or Community Network","483 Green Lanes London N13 4BS UKLondonUnited KingdomN13 4BSUnited Kingdom","not for profit organization","2012-01-01 00:00:00","English","","advocacy service, Citizens, accountability","Community networks","Building collective process","Service, Others","Public Domain","AGPL license","mySociety","mySociety","The data standard we are using is a subset of Akoma Ntoso – a standard developed specifically for use in parliaments and assemblies.",""
