Con,Contp,PP,PPName,Reg,AgtId,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Angola,Government,4,Angola: UNITA process,Africa (excl MENA),1316,Ceasefire Agreement (Bicesse Accords),1991-05-31,Multiparty signed/agreed,12,76149,Intra,Cea,Ceas,"Government of Angola, UNITA","Apolinario CORREIA, Charge d'affaires a.i.",,AGO,,540,,327,,,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1
Angola,Government,4,Angola: UNITA process,Africa (excl MENA),1317,Fundamental principles for the establishment of Peace in Angola (Bicesse Accords),1991-05-31,Multiparty signed/agreed,2,3437,Intra,Cea,Rel,"[Note: Actual signatories not listed, although parties appear to be Government of Angola and UNITA]",,,AGO,,540,,327,,,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Armenia/Azerbaijan/(Nagorno-Karabakh),Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1684,Agreement on strengthening the ceasefire,1995-02-04,Multiparty signed/agreed,2,5177,InterIntra,Cea,Rel,"M. MAMEDOV
Minister of Defence of Azerbaijan

Serge Sargsyan
Minister of Defence of Armenia 

Samvel Babayan
Commander of the Army of Nagorno Karabakh ","Vladimir Kazimirov
on behalf of the Co-chairmen of the OSCE Minsk Conference
",,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1733,Agreement on Confirmation of Commitment to Ceasefire,1994-07-27,Multiparty signed/agreed,1,1841,Intra,Cea,Rel,"Mammadrafi Mammadov, Minister of Defence of Azerbaijan

Serzh Sargsyan, Minister of Defence of Armenia

Samvel Babayan, Commander of the Army of the Republic of Nagorno-Karabakh
 
","To Minister of defence of Russian Federation, P.S. Grachov

To The Chariman of the OSCE Minsk conference on Nagorno-Karabakh, Y. Eliyason

To The Minister of Foreign Affairs of the Russian Federation, A.V. Kozyrev; V.H. Kazimirov
","Page 1: By positively evaluating in general the observance of the ceasefire from 12 May 1994 in accordance with the agreement created with Russian mediation in the period from 09 to 11 May of this year, and by responding to the call of the official representatives of the president of the Russian Federation and the Chair of the OSCE Minsk Conference dated 23 June of this year.

Page 1:...The fighting parties confirm the following:
- Their firm resolution to continue to fulfil their obligations under the ceasefire and in particular meaning, through the ceasefire, to preserve the conditions for signing a comprehensive political agreement and placement of international observers in the conflict zone.
- Their aim to intensify efforts to complete the comprehensive political agreement within 30 days of August 1994, in which the military-technical issues will be addressed including the cooperation of international security forces and an OSCE observation mission.

Page 1:...The opposing parties agree in the agreed terms to confirm the responsibilities they have taken upon themselves in relation to the ceasefire and to maintain the ceasefire regime until the signing of a comprehensive political agreement which provides for the total cessation of hostilities.
",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,990,Ceasefire Agreement Signed in Bishkek,1994-05-11,Multiparty signed/agreed,1,1836,Intra,Cea,Ceas,"Minister of Defense of Azerbaijan
M. Mamedov
 
Minister of Defense of Armenia 
S. Sargsyan

Nagorno Karabakh Army Commander
S. Babayan 
","P. S. Grachev
Minister of Defense of the Russian Federation 
A. V. Kozyrev
Minister of Foreign Affairs of the Russian Federation 
V. N. Kazimirov
","Page 1:...Responding to the call for a cease-fire, as set out in the Bishkek Protocol of May 5, 1994, and based on the Protocol of 18 February 1994, the conflicting Parties agreed on the following:

Page 1, 3: This agreement will be used to complete the negotiations in the next 10 days and conclude an Agreement on Cessation of the Armed Conflict no later than May 22 of this year. ",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,310,Bishkek Protocol,1994-05-05,Multiparty signed/agreed,2,2812,Intra,Cea,Rel,"(signed by R. Guliyev, Chairman of the Azerbaijani Supreme Soviet)
K. Babourian
(Chairman of the Nagorno Karabakh Republic Supreme Soviet)
B. Ararktsian
(Chairman of the Supreme Soviet of Armenia)
","V. Shumeyko
(Chairman of the Council of Federation of Russia)
M. Sherimkulov
(Chairman of the Supreme Soviet of Kyrgyzstan)

V. Kazimirov
(Plenipotentiary Representative of the President of the Russian Federation, Head of the
Russian Mediation Mission)

M. Krotov
(Head of the Secretariat of the Council of the Inter-Parliamentary Assembly of member
states)

","Page 1:...supporting the April 15, 1994 Statement by the CIS Council of heads of states, express readiness to fully support the efforts by heads and representatives of executive power on cessation of the armed conflict and liquidation of its consequences by reaching an appropriate agreement as soon as possible;

Page 1:...advocate a naturally active role of the Commonwealth and Inter-Parliamentary Assembly in cessation of the conflict, in realization of thereupon principles, goals and the UN and OSCE certain decisions (first of all the UN Security Council resolutions 822, 853, 874, 884);",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1732,Agreement on the Implementation of the 18 February 1994 Protocol,1994-04-28,Unilateral document,1,1771,Intra,Cea,Ceas,"Minister of Foreign Affairs for the Republic of Nagorno-Karabakh: A Gukasyan

Commander in Chief of the Defence Army of the Republic of Nagorno-Karabakh: S. Babayan
","To Ministry of Defence of Russian Federation: P Grachov
To Ministry of Foreign Affairs Russian Federation:A Kozyrev and V Kazimirov
",,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1730,Agreement to Extend the Ceasefire for a Period of 3 Days,1993-09-10,Unilateral document,1,839,Intra,Cea,Ceas,"To Nagorno-Karabakh

Deputy Chair of the High Council of Azerbaijan Republic: A Jalilov
Acting Minister of Defence of Azerbaijan: S Abiyev
 

","Copy to Minister of Foreign Affairs, Russian Federation","Page 1:...During this period negotiations in Moscow will be held by official representatives for the preparation of the meeting of the authorities of Azerbaijan and Nagorno-Karabakh, about which previous agreement was reached (If the negotiations in Moscow will take more time then the ceasefire will automatically be prolonged up to and including the day of the end of the negotiations).",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1729,Agreement on the Resumption of the Ceasefire for a Period of 11 Days and a Meeting between the leaders of Azerbajan and Nagorno-Karabakh,1993-08-30,Unilateral document,1,1481,Intra,Cea,Ceas,"To the authorities of Nagorno-Karabakh

Deputy Chair of the High Council of Azerbaijan Republic: A Jalilov

Acting Minister of Defence of Azerbaijan: S Abiyev

","Copied to MFA, Russian Federation","Page 1, 1: In case of a reciprocal commitment from both parties, in continuation of the agreements dated 24 and 28 July and 17 August 1993, we commit to renew the universal ceasefire from the period starting 31 August till 10 September 1993 (inclusive).",AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Armenia/Azerbaijan/Nagorno-Karabakh,Government/territory,8,Azerbaijan-Nagorno Karabakh: Process,Europe and Eurasia,1728,Agreement on the Resumption of the Ceasefire for a Period of 5 Days and a Meeting Between the Leaders of Azerbaijan and Nagorno Karabakh ,1993-08-17,Unilateral document,1,2079,Intra,Cea,Ceas,"Acting Minister of Defence Azerbaijan Republic: S. Abiyev
Deputy Prime Minister of Azerbaijan Republic: R. Guliyev",,Page 1: In continuation of the agreements previously agreed on 24 and 28 July 1993...,AZE,ARM,373,371,388,,,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
