Index,AgreementId,Name,Region,Country,Peace Process,Peace Process Name,Stage,Signed Date,Agreement/Conflict Level,Conflict Nature,Agreement Status
1,9,Rules Governing the Work of the Working Groups,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1997-06-12,Intra,Government/territory,Multiparty signed/agreed
2,10,Final Document of the Moscow Meeting (Moscow Ceasefire),Europe and Eurasia,Georgia/Russia/Abkhazia,43,Abkhazia peace process,Cea,1992-09-03,Intra,Government/territory,Multiparty signed/agreed
3,12,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,SubPar,1993-12-01,Intra,Territory,Multiparty signed/agreed
4,17,Record of the first extraordinary session of the Coordinating Council of the Georgian and Abkhaz parties,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1998-01-22,Intra,Government/territory,Multiparty signed/agreed
5,19,Protocol of the fourth (second special) session of the Coordinating Council of the Georgian and Abkhaz sides,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1998-05-22,Intra,Government/territory,Multiparty signed/agreed
6,20,"Protocol on the ceasefire, separation of armed formations and guarantees on the inadmissibility of forcible activities ('Gagra Protocol')",Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Cea,1998-05-25,Intra,Government/territory,Multiparty signed/agreed
7,21,"Concluding statement on the results of the second meeting of the Georgian and Abkhaz sides, Geneva, 23-25 July 1998.",Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1998-07-25,Intra,Government/territory,Multiparty signed/agreed
8,22,Protocol of the fifth session of the Coordinating Council of the Georgian and Abkhaz sides,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Cea,1998-09-02,Intra,Government/territory,Multiparty signed/agreed
9,23,Minutes of the meeting between the Georgian and Abkhaz sides on stabilization of the situation along the line separating the sides,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1998-09-24,Intra,Government/territory,Multiparty signed/agreed
10,24,Protocol of the sixth session of the Coordinating Council of the Georgian and Abkhaz sides,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Pre,1998-12-18,Intra,Government/territory,Multiparty signed/agreed
11,25,Protocol of the Meeting of Georgian and Abkhaz Sides,Europe and Eurasia,Georgia/Abkhazia,43,Abkhazia peace process,Cea,1998-12-21,Intra,Government/territory,Multiparty signed/agreed
12,38,Outcome of Deliberations of the Meeting held in Yamoussokro on 29 and 30 June 1991 (Yamoussoukro I Accord),Africa (excl MENA),Liberia,69,Liberia peace process,Cea,1991-06-30,Intra,Government,Multiparty signed/agreed
13,39,"Final Communique of the First Meeting of the Committee of Five on Liberia, Yamoussoukro (Yamoussoukro II Accord)",Africa (excl MENA),Liberia,69,Liberia peace process,Pre,1991-07-29,InterIntra,Government,Multiparty signed/agreed
