AgreementId,Name,Region,Country,Peace Process,Peace Process Name,Stage,Signed Date,Agreement/Conflict Level,Conflict Nature,Agreement Status
1739,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2016-09-22,Intra,Government,Multiparty signed/agreed
1923,Agreement between the two campaign teams regarding the structure of the national unity government,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2014-09-21,Intra,Government,Multiparty signed/agreed
864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2012-07-08,InterIntra,Government,Multiparty signed/agreed
848,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Pre,2011-12-05,InterIntra,Government,Multiparty signed/agreed
849,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2011-11-02,InterIntra,Government,Multiparty signed/agreed
709,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2010-07-22,InterIntra,Government,Multiparty signed/agreed
708,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Pre,2010-06-06,Intra,Government,Multiparty signed/agreed
707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2010-01-28,InterIntra,Government,Multiparty signed/agreed
706,Statement of the International Conference on Afghanistan (Hague Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2009-03-31,InterIntra,Government,Multiparty signed/agreed
847,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2009-03-27,InterIntra,Government,Multiparty signed/agreed
705,Declaration of the International Conference in Support of Afghanistan (Paris Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2008-06-12,InterIntra,Government,Multiparty signed/agreed
1069,Rome Conference on Justice and Rule of Law in Afghanistan,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2007-07-03,InterIntra,Government,Multiparty signed/agreed
1061,Afghanistan Compact Building on Success (London Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2006-02-01,InterIntra,Government,Multiparty signed/agreed
1054,Berlin Declaration (Berlin Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2004-04-01,InterIntra,Government,Multiparty signed/agreed
909,Kabul Declaration of Good Neighbourly Relations,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2002-12-24,InterIntra,Government,Multiparty signed/agreed
908,Communiqué of the International Conference on Reconstruction Assistance to Afghanistan (Tokyo Conference),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Imp,2002-01-22,InterIntra,Government,Multiparty signed/agreed
272,Agreement on Provisional Arrangements in Afghanistan Pending the Re-establishment of Permanent Government Institutions ('Bonn Agreement'),Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2001-12-05,Intra,Government,Multiparty signed/agreed
553,Tashkent Declaration on Fundamental Principles for a Peaceful Settlement of the Conflict in Afghanistan,Europe and Eurasia,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Pre,1999-07-19,InterIntra,Government,Multiparty signed/agreed
409,Afghan Peace Accord (Islamabad Accord),Europe and Eurasia,Afghanistan,1,Afghanistan: 1990s Taliban process,SubPar,1993-03-07,Intra,Government,Multiparty signed/agreed
482,Peshawar Accord,Europe and Eurasia,Afghanistan,1,Afghanistan: 1990s Taliban process,SubPar,1992-04-24,Intra,Government,Multiparty signed/agreed
1070,Joint Declaration adopted by Pak-Afghan Joint Peace Jirga,Cross-regional,Afghanistan/Pakistan,2,Afghanistan: 2000s Post-intervention process,SubPar,2007-08-12,InterIntra,Territory,Multiparty signed/agreed
1595,Project de charte pour la paix et la réconciliation nationale,Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,SubPar,2005-08-14,Intra,Government,Unilateral document
1738,Texts for Implementing Acts relating to the Restoration of Civil Harmony,Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,Imp,1999-07-20,Intra,Government,Unilateral document
1737,Civil Harmony Act,Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,SubPar,1999-07-13,Intra,Government,Unilateral document
1255,Plate-forme de l'entente nationale,Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,SubPar,1996-09-17,Intra,Government,Multiparty signed/agreed
1044,Plate-forme pour une solution politique et pacifique de la crise algérienne (Plate-forme de Rome),Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,Pre,1995-01-13,Intra,Government,Multiparty signed/agreed
484,Plate-forme portant consensus national sur la période transitoire,Middle East and North Africa,Algeria,3,Algeria: Bouteflika Process,Pre,1994-01-26,Intra,Government,Multiparty signed/agreed
978,Luena Memorandum of Understanding (Addendum to the Lusaka Protocol for the Cessation of Hostilities and the Resolution of the Outstanding Military Issues under the Lusaka Protocol),Africa (excl MENA),Angola,4,Angola: UNITA process,SubPar,2002-04-04,Intra,Government,Multiparty signed/agreed
305,Angolan Government's Peace Plan,Africa (excl MENA),Angola,4,Angola: UNITA process,Imp,2002-03-13,Intra,Government,Multiparty signed/agreed
